1.3658	-0.6663
0.2127	-1.8449
3.0593	0.8512
4.9421	3.4342
3.5152	1.8925
3.6786	2.3585
4.8590	1.1573
0.7819	3.8286
5.5087	5.9983
3.2506	4.0269
2.1079	3.9170
1.3899	6.9188
4.2490	3.4566
-0.3793	6.4126
-1.0878	9.4844
-2.9963	8.4042
-4.3494	9.3013
-1.8877	8.3962
-0.7904	8.3914
-3.2238	9.7998
-1.5924	11.6387
-3.5288	10.9393
-1.2349	13.2840
3.5026	13.5537
4.6809	14.7756
5.3158	15.7412
3.7429	17.1507
3.3854	14.3548
5.9107	12.5299
4.9530	13.4733
7.1226	9.8676
6.7413	8.9238
8.1183	3.4634
6.0426	2.1705
7.7095	-0.2746
4.8352	-4.8219
10.6207	-5.8339
9.8541	-10.0560
14.1372	-10.0318
14.8481	-11.7237
18.7499	-15.9228
19.1898	-15.8490
20.7083	-17.0528
19.9377	-20.3078
25.0160	-21.7931
24.3932	-23.2980
26.8291	-22.8499
26.9888	-27.1063
26.3397	-25.8278
28.5137	-30.3575
34.8265	-32.6378
34.1153	-36.2496
36.9930	-39.2393
36.0222	-43.8842
44.5358	-47.3922
45.3468	-51.6077
48.0124	-58.3195
50.6604	-62.6042
55.6294	-67.5625
59.5730	-70.7527
67.0583	-75.3027
67.9185	-80.7028
75.3997	-83.3317
78.4721	-89.7286
83.6650	-90.4624
88.1319	-94.2520
97.2087	-102.0914
102.6958	-102.0790
107.9738	-109.6271
115.5498	-110.3434
116.6397	-114.6711
121.6048	-115.6701
124.5159	-117.3807
128.5308	-121.3685
132.8254	-124.5045
141.0607	-126.8432
144.4099	-132.1368
149.7270	-129.4271
155.6946	-129.2220
162.8610	-131.5614
166.0269	-135.0830
172.5252	-133.8231
182.6864	-138.0054
189.7550	-135.1369
197.5761	-138.9281
203.8241	-139.4522
211.0714	-142.1525
218.4326	-146.3341
225.0562	-148.0744
230.3551	-147.4355
237.5459	-149.7789
245.9302	-145.1775
251.0923	-146.5800
261.2949	-146.7231
266.6924	-148.9139
274.9056	-148.4653
284.5635	-149.4189
291.4531	-148.3176
302.0727	-149.4855
308.2243	-152.2736
